"","date","variable","value"
"1",1967-07-01,"psavert",12.6
"2",1967-08-01,"psavert",12.6
"3",1967-09-01,"psavert",11.9
"4",1967-10-01,"psavert",12.9
"5",1967-11-01,"psavert",12.8
"6",1967-12-01,"psavert",11.8
"7",1968-01-01,"psavert",11.7
"8",1968-02-01,"psavert",12.3
"9",1968-03-01,"psavert",11.7
"10",1968-04-01,"psavert",12.3
"11",1968-05-01,"psavert",12
"12",1968-06-01,"psavert",11.7
"13",1968-07-01,"psavert",10.7
"14",1968-08-01,"psavert",10.5
"15",1968-09-01,"psavert",10.6
"16",1968-10-01,"psavert",10.8
"17",1968-11-01,"psavert",10.6
"18",1968-12-01,"psavert",11.1
"19",1969-01-01,"psavert",10.3
"20",1969-02-01,"psavert",9.7
"21",1969-03-01,"psavert",10.2
"22",1969-04-01,"psavert",9.7
"23",1969-05-01,"psavert",10.1
"24",1969-06-01,"psavert",11.1
"25",1969-07-01,"psavert",11.8
"26",1969-08-01,"psavert",11.5
"27",1969-09-01,"psavert",11.6
"28",1969-10-01,"psavert",11.4
"29",1969-11-01,"psavert",11.6
"30",1969-12-01,"psavert",11.8
"31",1970-01-01,"psavert",11.8
"32",1970-02-01,"psavert",11.7
"33",1970-03-01,"psavert",12.4
"34",1970-04-01,"psavert",13.3
"35",1970-05-01,"psavert",12.4
"36",1970-06-01,"psavert",12.3
"37",1970-07-01,"psavert",13.5
"38",1970-08-01,"psavert",13.4
"39",1970-09-01,"psavert",12.9
"40",1970-10-01,"psavert",13.1
"41",1970-11-01,"psavert",13.6
"42",1970-12-01,"psavert",13.2
"43",1971-01-01,"psavert",13.3
"44",1971-02-01,"psavert",13.3
"45",1971-03-01,"psavert",13.5
"46",1971-04-01,"psavert",13.2
"47",1971-05-01,"psavert",13.6
"48",1971-06-01,"psavert",14.7
"49",1971-07-01,"psavert",13.8
"50",1971-08-01,"psavert",13.6
"51",1971-09-01,"psavert",13.3
"52",1971-10-01,"psavert",13.3
"53",1971-11-01,"psavert",13.1
"54",1971-12-01,"psavert",13
"55",1972-01-01,"psavert",12.5
"56",1972-02-01,"psavert",12.8
"57",1972-03-01,"psavert",11.8
"58",1972-04-01,"psavert",11.5
"59",1972-05-01,"psavert",11.7
"60",1972-06-01,"psavert",11.7
"61",1972-07-01,"psavert",11.7
"62",1972-08-01,"psavert",12
"63",1972-09-01,"psavert",12.2
"64",1972-10-01,"psavert",13
"65",1972-11-01,"psavert",13.6
"66",1972-12-01,"psavert",13.7
"67",1973-01-01,"psavert",12.4
"68",1973-02-01,"psavert",12.5
"69",1973-03-01,"psavert",12.7
"70",1973-04-01,"psavert",13.2
"71",1973-05-01,"psavert",13.2
"72",1973-06-01,"psavert",13.6
"73",1973-07-01,"psavert",13.2
"74",1973-08-01,"psavert",13.9
"75",1973-09-01,"psavert",13.1
"76",1973-10-01,"psavert",14.4
"77",1973-11-01,"psavert",14.4
"78",1973-12-01,"psavert",14.8
"79",1974-01-01,"psavert",14.3
"80",1974-02-01,"psavert",14.2
"81",1974-03-01,"psavert",13.4
"82",1974-04-01,"psavert",13.1
"83",1974-05-01,"psavert",12.8
"84",1974-06-01,"psavert",12.8
"85",1974-07-01,"psavert",12.8
"86",1974-08-01,"psavert",12.1
"87",1974-09-01,"psavert",12.9
"88",1974-10-01,"psavert",13.4
"89",1974-11-01,"psavert",13.8
"90",1974-12-01,"psavert",14
"91",1975-01-01,"psavert",13.2
"92",1975-02-01,"psavert",12.5
"93",1975-03-01,"psavert",12.7
"94",1975-04-01,"psavert",14.2
"95",1975-05-01,"psavert",17.3
"96",1975-06-01,"psavert",14.3
"97",1975-07-01,"psavert",12.6
"98",1975-08-01,"psavert",13
"99",1975-09-01,"psavert",13
"100",1975-10-01,"psavert",13.4
"101",1975-11-01,"psavert",12.7
"102",1975-12-01,"psavert",12
"103",1976-01-01,"psavert",11.7
"104",1976-02-01,"psavert",12.3
"105",1976-03-01,"psavert",12.2
"106",1976-04-01,"psavert",11.7
"107",1976-05-01,"psavert",12.3
"108",1976-06-01,"psavert",11.4
"109",1976-07-01,"psavert",11.7
"110",1976-08-01,"psavert",11.7
"111",1976-09-01,"psavert",11.4
"112",1976-10-01,"psavert",11.1
"113",1976-11-01,"psavert",11.4
"114",1976-12-01,"psavert",10.6
"115",1977-01-01,"psavert",10.6
"116",1977-02-01,"psavert",9.3
"117",1977-03-01,"psavert",10.5
"118",1977-04-01,"psavert",10.5
"119",1977-05-01,"psavert",10.3
"120",1977-06-01,"psavert",10.6
"121",1977-07-01,"psavert",10.5
"122",1977-08-01,"psavert",10.9
"123",1977-09-01,"psavert",11.1
"124",1977-10-01,"psavert",11
"125",1977-11-01,"psavert",11.2
"126",1977-12-01,"psavert",11.4
"127",1978-01-01,"psavert",11.9
"128",1978-02-01,"psavert",11.1
"129",1978-03-01,"psavert",11
"130",1978-04-01,"psavert",10.8
"131",1978-05-01,"psavert",10.3
"132",1978-06-01,"psavert",10
"133",1978-07-01,"psavert",10.9
"134",1978-08-01,"psavert",10.5
"135",1978-09-01,"psavert",10.6
"136",1978-10-01,"psavert",10.7
"137",1978-11-01,"psavert",10.5
"138",1978-12-01,"psavert",10.4
"139",1979-01-01,"psavert",11.1
"140",1979-02-01,"psavert",11.1
"141",1979-03-01,"psavert",11.2
"142",1979-04-01,"psavert",11
"143",1979-05-01,"psavert",10.3
"144",1979-06-01,"psavert",9.9
"145",1979-07-01,"psavert",10.6
"146",1979-08-01,"psavert",9.7
"147",1979-09-01,"psavert",9.4
"148",1979-10-01,"psavert",9.7
"149",1979-11-01,"psavert",9.7
"150",1979-12-01,"psavert",10.1
"151",1980-01-01,"psavert",9.9
"152",1980-02-01,"psavert",10.1
"153",1980-03-01,"psavert",10.2
"154",1980-04-01,"psavert",11.3
"155",1980-05-01,"psavert",11.4
"156",1980-06-01,"psavert",11.2
"157",1980-07-01,"psavert",11.3
"158",1980-08-01,"psavert",11.3
"159",1980-09-01,"psavert",11.7
"160",1980-10-01,"psavert",11.3
"161",1980-11-01,"psavert",11.6
"162",1980-12-01,"psavert",11.4
"163",1981-01-01,"psavert",10.9
"164",1981-02-01,"psavert",10.8
"165",1981-03-01,"psavert",10.8
"166",1981-04-01,"psavert",10.9
"167",1981-05-01,"psavert",11
"168",1981-06-01,"psavert",10.8
"169",1981-07-01,"psavert",12.3
"170",1981-08-01,"psavert",12
"171",1981-09-01,"psavert",12.4
"172",1981-10-01,"psavert",13
"173",1981-11-01,"psavert",13.2
"174",1981-12-01,"psavert",12.5
"175",1982-01-01,"psavert",12.7
"176",1982-02-01,"psavert",12.1
"177",1982-03-01,"psavert",12.2
"178",1982-04-01,"psavert",12.9
"179",1982-05-01,"psavert",12.3
"180",1982-06-01,"psavert",12.3
"181",1982-07-01,"psavert",12.5
"182",1982-08-01,"psavert",12.6
"183",1982-09-01,"psavert",11.8
"184",1982-10-01,"psavert",11.3
"185",1982-11-01,"psavert",10.9
"186",1982-12-01,"psavert",10.9
"187",1983-01-01,"psavert",11.1
"188",1983-02-01,"psavert",11.1
"189",1983-03-01,"psavert",10.6
"190",1983-04-01,"psavert",10.3
"191",1983-05-01,"psavert",9.9
"192",1983-06-01,"psavert",9.1
"193",1983-07-01,"psavert",9.6
"194",1983-08-01,"psavert",9.2
"195",1983-09-01,"psavert",9.6
"196",1983-10-01,"psavert",9.7
"197",1983-11-01,"psavert",10.3
"198",1983-12-01,"psavert",10.1
"199",1984-01-01,"psavert",10
"200",1984-02-01,"psavert",11.7
"201",1984-03-01,"psavert",11.5
"202",1984-04-01,"psavert",11.5
"203",1984-05-01,"psavert",11.1
"204",1984-06-01,"psavert",11.1
"205",1984-07-01,"psavert",11.6
"206",1984-08-01,"psavert",11.8
"207",1984-09-01,"psavert",11.8
"208",1984-10-01,"psavert",11.7
"209",1984-11-01,"psavert",10.9
